
# Curve 0 of 1, 25 points
# Curve title: "3/x*besj1(x)-besj0(x)"
# x y type
0.0000000e+00 0.0000000e+00  u
4.1666667e-02 5.0010848e-01  i
8.3333333e-02 5.0043365e-01  i
1.2500000e-01 5.0097466e-01  i
1.6666667e-01 5.0173009e-01  i
2.0833333e-01 5.0269798e-01  i
2.5000000e-01 5.0387580e-01  i
2.9166667e-01 5.0526047e-01  i
3.3333333e-01 5.0684837e-01  i
3.7500000e-01 5.0863532e-01  i
4.1666667e-01 5.1061663e-01  i
4.5833333e-01 5.1278709e-01  i
5.0000000e-01 5.1514094e-01  i
5.4166667e-01 5.1767195e-01  i
5.8333333e-01 5.2037338e-01  i
6.2500000e-01 5.2323803e-01  i
6.6666667e-01 5.2625820e-01  i
7.0833333e-01 5.2942576e-01  i
7.5000000e-01 5.3273213e-01  i
7.9166667e-01 5.3616832e-01  i
8.3333333e-01 5.3972493e-01  i
8.7500000e-01 5.4339214e-01  i
9.1666667e-01 5.4715981e-01  i
9.5833333e-01 5.5101740e-01  i
1.0000000e+00 5.5495407e-01  i

